Model,Use Chain,R2 Score,MSE
ElasticNet,Yes,0.9927047023089489,0.00738090845637453
ElasticNet,No,0.9528133249134022,0.029231341095840174
BayesianRidge,Yes,0.9641338094512779,0.028308377503276326
BayesianRidge,No,0.910636178243101,0.03669149724168989
RandomForestRegressor,Yes,0.9999902542814494,5.489966210703722e-06
RandomForestRegressor,No,0.9926609033207103,0.0076139917097493804
LinearRegression,Yes,0.9215229158628995,0.02923393094453633
LinearRegression,No,0.9701108653019234,0.016673168080928856
GradientBoostingRegressor,Yes,0.7357396680256075,0.07919051374088108
GradientBoostingRegressor,No,0.8238446633569901,0.05495802748626334
DecisionTreeRegressor,Yes,0.8119243775320912,0.025809784354650936
DecisionTreeRegressor,No,0.9794968698849373,0.010578444335842478
